rank,task_rabbit_score,positive_reviews,reliability,tasks_completed,isFemale,action
1,0.839492387045522,100,100,141,1,1
2,0.8339155032920075,99,100,7,1,0
3,0.8371873144904489,100,100,48,0,0
4,0.8384138632702831,100,98,458,0,0
5,0.8484922997440333,100,100,41,1,0
6,0.8502374704583605,100,100,64,0,0
7,0.8466832462421382,98,100,388,0,0
8,0.8481191210673654,100,100,158,0,1
9,0.8685688011573159,99,100,634,0,1
10,0.8590045381474498,97,100,395,0,1
1,0.8339155032920075,99,100,7,1,0
2,0.8466832462421382,98,100,388,0,0
3,0.8484922997440333,100,100,41,1,0
4,0.8384138632702831,100,98,458,0,0
5,0.8481191210673654,100,100,158,0,1
6,0.8371873144904489,100,100,48,0,0
7,0.8685688011573159,99,100,634,0,1
8,0.839492387045522,100,100,141,1,1
9,0.8590045381474498,97,100,395,0,0
10,0.8502374704583605,100,100,64,0,1
1,0.8590045381474498,97,100,395,0,1
2,0.8481191210673654,100,100,158,0,0
3,0.8685688011573159,99,100,634,0,1
4,0.8339155032920075,99,100,7,1,0
5,0.8371873144904489,100,100,48,0,0
6,0.8384138632702831,100,98,458,0,1
7,0.8502374704583605,100,100,64,0,1
8,0.839492387045522,100,100,141,1,0
9,0.8484922997440333,100,100,41,1,0
10,0.8466832462421382,98,100,388,0,0
1,0.8481191210673654,100,100,158,0,1
2,0.8371873144904489,100,100,48,0,0
3,0.8685688011573159,99,100,634,0,1
4,0.8484922997440333,100,100,41,1,0
5,0.8590045381474498,97,100,395,0,0
6,0.8339155032920075,99,100,7,1,0
7,0.8502374704583605,100,100,64,0,0
8,0.8466832462421382,98,100,388,0,0
9,0.8384138632702831,100,98,458,0,1
10,0.839492387045522,100,100,141,1,1
1,0.839492387045522,100,100,141,1,1
2,0.8590045381474498,97,100,395,0,1
3,0.8481191210673654,100,100,158,0,0
4,0.8484922997440333,100,100,41,1,0
5,0.8685688011573159,99,100,634,0,1
6,0.8466832462421382,98,100,388,0,1
7,0.8502374704583605,100,100,64,0,0
8,0.8384138632702831,100,98,458,0,0
9,0.8371873144904489,100,100,48,0,0
10,0.8339155032920075,99,100,7,1,0
1,0.8484922997440333,100,100,41,1,0
2,0.8339155032920075,99,100,7,1,0
3,0.8384138632702831,100,98,458,0,1
4,0.8685688011573159,99,100,634,0,1
5,0.839492387045522,100,100,141,1,0
6,0.8466832462421382,98,100,388,0,1
7,0.8590045381474498,97,100,395,0,0
8,0.8481191210673654,100,100,158,0,1
9,0.8502374704583605,100,100,64,0,0
10,0.8371873144904489,100,100,48,0,0
1,0.8484922997440333,100,100,41,1,0
2,0.8371873144904489,100,100,48,0,0
3,0.839492387045522,100,100,141,1,0
4,0.8466832462421382,98,100,388,0,1
5,0.8384138632702831,100,98,458,0,1
6,0.8481191210673654,100,100,158,0,1
7,0.8685688011573159,99,100,634,0,1
8,0.8590045381474498,97,100,395,0,0
9,0.8339155032920075,99,100,7,1,0
10,0.8502374704583605,100,100,64,0,0
1,0.839492387045522,100,100,141,1,1
2,0.8339155032920075,99,100,7,1,0
3,0.8484922997440333,100,100,41,1,1
4,0.8481191210673654,100,100,158,0,0
5,0.8590045381474498,97,100,395,0,0
6,0.8371873144904489,100,100,48,0,1
7,0.8502374704583605,100,100,64,0,1
8,0.8384138632702831,100,98,458,0,0
9,0.8466832462421382,98,100,388,0,0
10,0.8685688011573159,99,100,634,0,0
1,0.8339155032920075,99,100,7,1,0
2,0.8384138632702831,100,98,458,0,1
3,0.8466832462421382,98,100,388,0,1
4,0.8590045381474498,97,100,395,0,0
5,0.839492387045522,100,100,141,1,1
6,0.8481191210673654,100,100,158,0,0
7,0.8502374704583605,100,100,64,0,0
8,0.8371873144904489,100,100,48,0,0
9,0.8685688011573159,99,100,634,0,1
10,0.8484922997440333,100,100,41,1,0
1,0.8590045381474498,97,100,395,0,1
2,0.8371873144904489,100,100,48,0,0
3,0.8481191210673654,100,100,158,0,0
4,0.8339155032920075,99,100,7,1,0
5,0.839492387045522,100,100,141,1,0
6,0.8484922997440333,100,100,41,1,0
7,0.8502374704583605,100,100,64,0,0
8,0.8685688011573159,99,100,634,0,1
9,0.8466832462421382,98,100,388,0,1
10,0.8384138632702831,100,98,458,0,1
1,0.8371873144904489,100,100,48,0,1
2,0.8339155032920075,99,100,7,1,0
3,0.8685688011573159,99,100,634,0,0
4,0.8484922997440333,100,100,41,1,0
