rank,task_rabbit_score,positive_reviews,reliability,tasks_completed,isFemale,action
1,0.6795129006315132,100,83,0,1,0
2,0.6889140819717308,100,100,0,1,0
3,0.6792422827330241,100,95,0,1,0
4,0.7770644320163811,98,100,1,0,1
5,0.7241151414444923,88,100,2,0,0
6,0.6948946293440471,100,96,0,0,1
7,0.723664417490066,100,100,0,0,0
8,0.6912021464108199,100,100,0,0,1
9,0.7763590957966456,96,100,1,0,0
10,0.7190217755368232,100,100,0,0,1
1,0.7763590957966456,96,100,1,1,0
2,0.7241151414444923,88,100,2,1,0
3,0.7770644320163811,98,100,1,1,1
4,0.6889140819717308,100,100,0,0,1
5,0.6948946293440471,100,96,0,1,1
6,0.6792422827330241,100,95,0,0,0
7,0.723664417490066,100,100,0,1,1
8,0.7190217755368232,100,100,0,1,0
9,0.6912021464108199,100,100,0,1,0
10,0.6795129006315132,100,83,0,0,0
1,0.6912021464108199,100,100,0,0,0
2,0.7241151414444923,88,100,2,0,0
3,0.723664417490066,100,100,0,0,1
4,0.6948946293440471,100,96,0,0,0
5,0.6792422827330241,100,95,0,1,0
6,0.7763590957966456,96,100,1,0,0
7,0.6889140819717308,100,100,0,1,1
8,0.7770644320163811,98,100,1,0,1
9,0.6795129006315132,100,83,0,1,0
10,0.7190217755368232,100,100,0,0,1
1,0.7241151414444923,88,100,2,1,1
2,0.6948946293440471,100,96,0,1,0
3,0.6795129006315132,100,83,0,0,0
4,0.6889140819717308,100,100,0,0,0
5,0.723664417490066,100,100,0,1,1
6,0.7190217755368232,100,100,0,1,0
7,0.7763590957966456,96,100,1,1,1
8,0.6912021464108199,100,100,0,1,0
9,0.6792422827330241,100,95,0,0,0
10,0.7770644320163811,98,100,1,1,1
1,0.6948946293440471,100,96,0,1,0
2,0.7241151414444923,88,100,2,1,1
3,0.6792422827330241,100,95,0,0,0
4,0.7190217755368232,100,100,0,1,0
5,0.7770644320163811,98,100,1,1,1
6,0.6889140819717308,100,100,0,0,1
7,0.6912021464108199,100,100,0,1,0
8,0.723664417490066,100,100,0,1,0
9,0.6795129006315132,100,83,0,0,0
10,0.7763590957966456,96,100,1,1,1
1,0.723664417490066,100,100,0,1,1
2,0.6948946293440471,100,96,0,1,0
3,0.6795129006315132,100,83,0,0,0
4,0.6792422827330241,100,95,0,0,0
5,0.7190217755368232,100,100,0,1,1
6,0.7241151414444923,88,100,2,1,0
7,0.6889140819717308,100,100,0,0,0
8,0.6912021464108199,100,100,0,1,0
9,0.7763590957966456,96,100,1,1,1
10,0.7770644320163811,98,100,1,1,1
1,0.7241151414444923,88,100,2,0,0
2,0.6792422827330241,100,95,0,1,0
3,0.6889140819717308,100,100,0,1,1
4,0.7763590957966456,96,100,1,0,0
5,0.6912021464108199,100,100,0,0,1
6,0.6795129006315132,100,83,0,1,0
7,0.6948946293440471,100,96,0,0,0
8,0.7190217755368232,100,100,0,0,0
9,0.723664417490066,100,100,0,0,1
10,0.7770644320163811,98,100,1,0,1
1,0.7770644320163811,98,100,1,0,1
2,0.6912021464108199,100,100,0,0,0
3,0.7190217755368232,100,100,0,0,0
4,0.6889140819717308,100,100,0,1,1
5,0.7763590957966456,96,100,1,0,1
6,0.6792422827330241,100,95,0,1,0
7,0.723664417490066,100,100,0,0,0
8,0.6795129006315132,100,83,0,1,0
9,0.7241151414444923,88,100,2,0,1
10,0.6948946293440471,100,96,0,0,0
1,0.723664417490066,100,100,0,1,1
2,0.7770644320163811,98,100,1,1,0
3,0.6795129006315132,100,83,0,0,0
4,0.7763590957966456,96,100,1,1,0
5,0.7190217755368232,100,100,0,1,1
6,0.6948946293440471,100,96,0,1,0
7,0.6792422827330241,100,95,0,0,0
8,0.7241151414444923,88,100,2,1,0
9,0.6912021464108199,100,100,0,1,1
10,0.6889140819717308,100,100,0,0,1
1,0.7190217755368232,100,100,0,1,1
2,0.6795129006315132,100,83,0,0,0
3,0.6912021464108199,100,100,0,1,1
4,0.6889140819717308,100,100,0,0,1
5,0.723664417490066,100,100,0,1,1
6,0.6792422827330241,100,95,0,0,0
7,0.6948946293440471,100,96,0,1,0
8,0.7241151414444923,88,100,2,1,0
9,0.7770644320163811,98,100,1,1,0
10,0.7763590957966456,96,100,1,1,0
1,0.6889140819717308,100,100,0,1,1
2,0.7241151414444923,88,100,2,0,0
3,0.7190217755368232,100,100,0,0,1
4,0.7763590957966456,96,100,1,0,1
5,0.7770644320163811,98,100,1,0,1
6,0.6948946293440471,100,96,0,0,0
7,0.6912021464108199,100,100,0,0,0
8,0.6792422827330241,100,95,0,1,0
9,0.6795129006315132,100,83,0,1,0
10,0.723664417490066,100,100,0,0,0
1,0.7763590957966456,96,100,1,0,0
2,0.6792422827330241,100,95,0,1,0
3,0.7770644320163811,98,100,1,0,0
4,0.6948946293440471,100,96,0,0,0
5,0.7241151414444923,88,100,2,0,0
6,0.723664417490066,100,100,0,0,1
7,0.6795129006315132,100,83,0,1,1
8,0.7190217755368232,100,100,0,0,1
9,0.6912021464108199,100,100,0,0,0
10,0.6889140819717308,100,100,0,1,1
1,0.6948946293440471,100,96,0,1,0
2,0.6792422827330241,100,95,0,0,0
3,0.7241151414444923,88,100,2,1,1
4,0.6912021464108199,100,100,0,1,0
5,0.723664417490066,100,100,0,1,1
6,0.7770644320163811,98,100,1,1,1
7,0.6795129006315132,100,83,0,0,0
8,0.6889140819717308,100,100,0,0,0
9,0.7763590957966456,96,100,1,1,1
10,0.7190217755368232,100,100,0,1,0
1,0.723664417490066,100,100,0,1,1
2,0.6948946293440471,100,96,0,1,0
3,0.6795129006315132,100,83,0,0,0
4,0.7763590957966456,96,100,1,1,0
5,0.6912021464108199,100,100,0,1,1
6,0.7770644320163811,98,100,1,1,0
7,0.7241151414444923,88,100,2,1,0
8,0.6889140819717308,100,100,0,0,1
9,0.6792422827330241,100,95,0,0,0
10,0.7190217755368232,100,100,0,1,1
1,0.6792422827330241,100,95,0,1,0
2,0.723664417490066,100,100,0,0,0
3,0.7241151414444923,88,100,2,0,1
4,0.6795129006315132,100,83,0,1,0
5,0.6889140819717308,100,100,0,1,0
6,0.7770644320163811,98,100,1,0,1
7,0.6948946293440471,100,96,0,0,0
